dataset,k,method,scenario,scenario_desc,base_min_risk,scenario_min_risk,delta_min_risk,delta_min_risk_pct,base_max_return,scenario_max_return,delta_max_return,delta_max_return_pct,base_pareto_points,scenario_pareto_points,delta_pareto_points,base_elapsed_sec,scenario_elapsed_sec,delta_elapsed_sec
port1,8,weighted_sum,mu_noise_10,mu + 10% std noise,0.0006446292027934534,0.0006446292027934534,0.0,0.0,0.010826917000105685,0.010572707155690078,-0.0002542098444156069,-2.3479430424480534,13,13,0,2.7623379230499268,3.364100933074951,0.6017630100250244
port1,8,epsilon_constraint,mu_noise_10,mu + 10% std noise,0.0007732587798019488,0.0007732576175395231,-1.1622624257337857e-09,-0.0001503070454669096,0.008758019289565863,0.008495292260876775,-0.00026272702868908836,-2.999845284676369,13,13,0,16.717339992523193,22.504807710647583,5.78746771812439
port1,8,nsga2,mu_noise_10,mu + 10% std noise,0.0006784217269186552,0.0007004381956315152,2.2016468712860002e-05,3.2452481751811355,0.008382188627949394,0.007914550254826002,-0.0004676383731233927,-5.578953109741638,60,60,0,0.36489176750183105,0.3720076084136963,0.007115840911865234
port1,8,combined_pareto,mu_noise_10,mu + 10% std noise,0.0006446292027934534,0.0006446292027934534,0.0,0.0,0.010826917000105685,0.010572707155690078,-0.0002542098444156069,-2.3479430424480534,70,73,3,19.84456968307495,26.24091625213623,6.396346569061279
port1,8,weighted_sum,mu_noise_25,mu + 25% std noise,0.0006446292027934534,0.0006446292027934534,0.0,0.0,0.010826917000105685,0.010295853928713574,-0.000531063071392111,-4.905025792540269,13,13,0,2.7623379230499268,2.7910592555999756,0.028721332550048828
port1,8,epsilon_constraint,mu_noise_25,mu + 25% std noise,0.0007732587798019488,0.0007732675065339158,8.726731967048304e-09,0.001128565519719471,0.008758019289565863,0.008577303560897946,-0.00018071572866791737,-2.063431498526369,13,13,0,16.717339992523193,16.099602460861206,-0.6177375316619873
port1,8,nsga2,mu_noise_25,mu + 25% std noise,0.0006784217269186552,0.0006666894054351611,-1.1732321483494098e-05,-1.729355210479696,0.008382188627949394,0.007275135482870674,-0.00110705314507872,-13.207208692338243,60,60,0,0.36489176750183105,0.3687455654144287,0.0038537979125976562
port1,8,combined_pareto,mu_noise_25,mu + 25% std noise,0.0006446292027934534,0.0006446292027934534,0.0,0.0,0.010826917000105685,0.010295853928713574,-0.000531063071392111,-4.905025792540269,70,71,1,19.84456968307495,19.25940728187561,-0.5851624011993408
port1,8,weighted_sum,sigma_scale_080,Sigma * 0.80,0.0006446292027934534,0.000515703362234763,-0.00012892584055869047,-19.999999999999968,0.010826917000105685,0.010826917000105685,0.0,0.0,13,13,0,2.7623379230499268,2.788357973098755,0.026020050048828125
port1,8,epsilon_constraint,sigma_scale_080,Sigma * 0.80,0.0007732587798019488,0.0006186070238681017,-0.0001546517559338471,-19.99999999656743,0.008758019289565863,0.008758019285528908,-4.036954798225523e-12,-4.6094381215111886e-08,13,13,0,16.717339992523193,19.48598551750183,2.7686455249786377
port1,8,nsga2,sigma_scale_080,Sigma * 0.80,0.0006784217269186552,0.0005471861708866683,-0.0001312355560319869,-19.344244269423648,0.008382188627949394,0.008631375558060926,0.0002491869301115314,2.972814633169286,60,60,0,0.36489176750183105,0.5831429958343506,0.21825122833251953
port1,8,combined_pareto,sigma_scale_080,Sigma * 0.80,0.0006446292027934534,0.000515703362234763,-0.00012892584055869047,-19.999999999999968,0.010826917000105685,0.010826917000105685,0.0,0.0,70,64,-6,19.84456968307495,22.857486486434937,3.0129168033599854
port1,8,weighted_sum,sigma_scale_120,Sigma * 1.20,0.0006446292027934534,0.0007735550433521443,0.0001289258405586909,20.000000000000036,0.010826917000105685,0.010826917000105685,0.0,0.0,13,13,0,2.7623379230499268,3.734869956970215,0.9725320339202881
port1,8,epsilon_constraint,sigma_scale_120,Sigma * 1.20,0.0007732587798019488,0.0009279105358179545,0.00015465175601600567,20.000000007192405,0.008758019289565863,0.00875801930105528,1.1489417056642637e-11,1.3118739154104066e-07,13,13,0,16.717339992523193,23.16604208946228,6.448702096939087
port1,8,nsga2,sigma_scale_120,Sigma * 1.20,0.0006784217269186552,0.0008173766426999438,0.00013895491578128864,20.482085149662336,0.008382188627949394,0.008382885337047572,6.967090981774282e-07,0.008311780241431647,60,60,0,0.36489176750183105,0.4776120185852051,0.11272025108337402
port1,8,combined_pareto,sigma_scale_120,Sigma * 1.20,0.0006446292027934534,0.0007735550433521443,0.0001289258405586909,20.000000000000036,0.010826917000105685,0.010826917000105685,0.0,0.0,70,65,-5,19.84456968307495,27.3785240650177,7.533954381942749
port1,8,weighted_sum,sigma_shrink_30,Sigma shrink-corr 30%,0.0006446292027934534,0.0005185898234526794,-0.00012603937934077406,-19.552229218687526,0.010826917000105685,0.01082691700010154,-4.144254384108592e-15,-3.82773266301768e-11,13,12,-1,2.7623379230499268,2.71106219291687,-0.05127573013305664
port1,8,epsilon_constraint,sigma_shrink_30,Sigma shrink-corr 30%,0.0007732587798019488,0.0006512682944150388,-0.00012199048538691002,-15.77615263782131,0.008758019289565863,0.008644110239770263,-0.00011390904979560051,-1.3006257011937572,13,13,0,16.717339992523193,23.42709732055664,6.709757328033447
port1,8,nsga2,sigma_shrink_30,Sigma shrink-corr 30%,0.0006784217269186552,0.000569442925891044,-0.00010897880102761113,-16.063577669097562,0.008382188627949394,0.008627026799256749,0.0002448381713073544,2.9209336865907685,60,60,0,0.36489176750183105,0.506462574005127,0.1415708065032959
port1,8,combined_pareto,sigma_shrink_30,Sigma shrink-corr 30%,0.0006446292027934534,0.0005185898234526794,-0.00012603937934077406,-19.552229218687526,0.010826917000105685,0.01082691700010154,-4.144254384108592e-15,-3.82773266301768e-11,70,67,-3,19.84456968307495,26.644622087478638,6.8000524044036865
port4,8,weighted_sum,mu_noise_10,mu + 10% std noise,0.00014546584344403963,0.00014546584344403963,0.0,0.0,0.009179590999992987,0.009315590705377021,0.00013599970538403366,1.4815442799590697,13,13,0,2.838470458984375,2.417139768600464,-0.42133069038391113
port4,8,epsilon_constraint,mu_noise_10,mu + 10% std noise,0.00028217751873314763,0.0002822171912540319,3.967252088426859e-08,0.01405941942589214,0.008625815509712196,0.00856905871095819,-5.6756798754005466e-05,-0.6579876266783171,13,13,0,41.06087684631348,41.446720600128174,0.38584375381469727
port4,8,nsga2,mu_noise_10,mu + 10% std noise,0.00017959956919313844,0.00017120094284260384,-8.3986263505346e-06,-4.676306512463209,0.008224530042400688,0.007591210953117446,-0.0006333190892832416,-7.700368118521454,60,60,0,0.6588451862335205,0.6138262748718262,-0.045018911361694336
port4,8,combined_pareto,mu_noise_10,mu + 10% std noise,0.00014546584344403963,0.00014546584344403963,0.0,0.0,0.009179590999992987,0.009315590705377021,0.00013599970538403366,1.4815442799590697,57,61,4,44.55819249153137,44.477686643600464,-0.0805058479309082
port4,8,weighted_sum,mu_noise_25,mu + 25% std noise,0.00014546584344403963,0.00014546584344403963,0.0,0.0,0.009179590999992987,0.009261257376424364,8.166637643137672e-05,0.8896515806797831,13,13,0,2.838470458984375,2.764706611633301,-0.07376384735107422
port4,8,epsilon_constraint,mu_noise_25,mu + 25% std noise,0.00028217751873314763,0.0002821818862619082,4.367528760580806e-09,0.0015477947287186732,0.008625815509712196,0.00867394310407783,4.812759436563334e-05,0.5579483390462536,13,13,0,41.06087684631348,39.542020082473755,-1.5188567638397217
port4,8,nsga2,mu_noise_25,mu + 25% std noise,0.00017959956919313844,0.00019508297109593827,1.5483401902799832e-05,8.621068509440152,0.008224530042400688,0.007609250607281374,-0.0006152794351193137,-7.481028483661755,60,60,0,0.6588451862335205,0.6228451728820801,-0.03600001335144043
port4,8,combined_pareto,mu_noise_25,mu + 25% std noise,0.00014546584344403963,0.00014546584344403963,0.0,0.0,0.009179590999992987,0.009261257376424364,8.166637643137672e-05,0.8896515806797831,57,49,-8,44.55819249153137,42.929571866989136,-1.6286206245422363
port4,8,weighted_sum,sigma_scale_080,Sigma * 0.80,0.00014546584344403963,0.0001163726747552317,-2.909316868880793e-05,-20.000000000000004,0.009179590999992987,0.009179590999992987,0.0,0.0,13,13,0,2.838470458984375,2.8297252655029297,-0.008745193481445312
port4,8,epsilon_constraint,sigma_scale_080,Sigma * 0.80,0.00028217751873314763,0.00022574201490647885,-5.643550382666878e-05,-20.00000002836486,0.008625815509712196,0.0086258182775714,2.767859203986478e-09,3.2088087217608815e-05,13,13,0,41.06087684631348,41.003321409225464,-0.057555437088012695
port4,8,nsga2,sigma_scale_080,Sigma * 0.80,0.00017959956919313844,0.0001476275638709962,-3.1972005322142234e-05,-17.801827401801873,0.008224530042400688,0.008283800431950223,5.9270389549535146e-05,0.7206538154031048,60,59,-1,0.6588451862335205,0.6870982646942139,0.02825307846069336
port4,8,combined_pareto,sigma_scale_080,Sigma * 0.80,0.00014546584344403963,0.0001163726747552317,-2.909316868880793e-05,-20.000000000000004,0.009179590999992987,0.009179590999992987,0.0,0.0,57,55,-2,44.55819249153137,44.52014493942261,-0.03804755210876465
port4,8,weighted_sum,sigma_scale_120,Sigma * 1.20,0.00014546584344403963,0.00017455901213284756,2.909316868880793e-05,20.000000000000004,0.009179590999992987,0.009179590999992987,0.0,0.0,13,13,0,2.838470458984375,2.542039394378662,-0.2964310646057129
port4,8,epsilon_constraint,sigma_scale_120,Sigma * 1.20,0.00028217751873314763,0.0003386130223322656,5.6435503599118e-05,19.999999947723854,0.008625815509712196,0.008625818875909635,3.3661974388476956e-09,3.902468624627482e-05,13,13,0,41.06087684631348,40.48698091506958,-0.5738959312438965
port4,8,nsga2,sigma_scale_120,Sigma * 1.20,0.00017959956919313844,0.00022303295552500126,4.3433386331862825e-05,24.183457970968334,0.008224530042400688,0.008231019413338102,6.4893709374146125e-06,0.07890263521391924,60,60,0,0.6588451862335205,0.5343701839447021,-0.12447500228881836
